"Source:","/home/nathann/OneDrive/Documents/Projet/electronic/PlantSensor/PlantSensor/PlantSensor.kicad_sch"
"Date:","lun 13 jun 2022 01:12:29"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","51"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","SKU"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","",""
"","","C1","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C2","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C4","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C5","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C6","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C8","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C9","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C10","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C11","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C12","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C13","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C14","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","J1","SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:H2-5.0-10.5X8.0MM","","","320110031"
"","","J2","SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:H2-5.0-10.5X8.0MM","","","320110031"
"","","J3","SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:H2-5.0-10.5X8.0MM","","","320110031"
"","","J4","SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:H2-5.0-10.5X8.0MM","","","320110031"
"","","J5","DIP-BLACK-MALE-HEADER-VERT_2P-2.54_","OPL_Connector:DIP-BLACK-MALE-HEADER-VERT_2P-2.54_","OPL_Connector:H2-2.54","","P125-1102A0BS116A1","320020016"
"","","J6","DIP-BLACK-MALE-HEADER-VERT_4P-2.54_","OPL_Connector:DIP-BLACK-MALE-HEADER-VERT_4P-2.54_","OPL_Connector:H4-2.54","","P125-1104A0BS116A1","320020017"
"","","Q1","N-Channel_30-V_MOSFET","PlantSensorsComponents:N-Channel_30-V_MOSFET","Package_TO_SOT_SMD:TO-252-2","","",""
"","","Q2","N-Channel_30-V_MOSFET","PlantSensorsComponents:N-Channel_30-V_MOSFET","Package_TO_SOT_SMD:TO-252-2","","",""
"","","Q3","N-Channel_30-V_MOSFET","PlantSensorsComponents:N-Channel_30-V_MOSFET","Package_TO_SOT_SMD:TO-252-2","","",""
"","","Q4","N-Channel_30-V_MOSFET","PlantSensorsComponents:N-Channel_30-V_MOSFET","Package_TO_SOT_SMD:TO-252-2","","",""
"","","R1","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R2","10K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R3","10K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R4","10K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R5","10K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R6","10R","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R7","10R","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R8","10R","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R9","10R","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R10","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R11","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R12","1M","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","R13","100K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"","","SW1","SW_Reed","Switch:SW_Reed","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"","","SW2","SW_Reed","Switch:SW_Reed","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"","","U1","BuckConverter","PlantSensorsComponents:BuckConverter","PlantSensor:Buck","","",""
"","","U2","MIC5219-3.3YM5","Regulator_Linear:MIC5219-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf","",""
"","","U3","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","",""
"","","U4","XL1278-SMT","Misc RF:XL1278-SMT","Misc RF:XL1278-SMT","","",""
"","","U5","I2C_Display","PlantSensorsComponents:I2C_Display","PlantSensor:Display","","",""
"","","U6","BMP280Module","PlantSensorsComponents:BMP280Module","PlantSensor:BMP280Module","","",""
"","","U7","GY-302_BH1750","PlantSensorsComponents:GY-302_BH1750","PlantSensor:BH1750","","",""
"","","U8","GPS_NEO-M8N_module","PlantSensorsComponents:GPS_NEO-M8N_module","PlantSensor:GPS","","",""
"","","U9","SPH0645Module","PlantSensorsComponents:SPH0645Module","PlantSensor:MicrophoneSPH0645","","",""
"","","U10","Capacitive_Soil_Moisture","PlantSensorsComponents:Capacitive_Soil_Moisture","OPL_Connector:H3-2.54","","",""
"","","U11","TEM-HUM-DHT11_4P-15.5X12.0MM_","OPL_Sensor-Transducer:TEM-HUM-DHT11_4P-15.5X12.0MM_","OPL_Sensor-Transducer:SNR4-2.54-15.5X12.0X5.5MM","","DHT11","314010000"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","SKU"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","",""
"2","5","C1, C2, C4, C5, C6","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"3","9","C3, C7, C8, C9, C10, C11, C12, C13, C14","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"4","4","J1, J2, J3, J4","SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:H2-5.0-10.5X8.0MM","","","320110031"
"5","1","J5","DIP-BLACK-MALE-HEADER-VERT_2P-2.54_","OPL_Connector:DIP-BLACK-MALE-HEADER-VERT_2P-2.54_","OPL_Connector:H2-2.54","","P125-1102A0BS116A1","320020016"
"6","1","J6","DIP-BLACK-MALE-HEADER-VERT_4P-2.54_","OPL_Connector:DIP-BLACK-MALE-HEADER-VERT_4P-2.54_","OPL_Connector:H4-2.54","","P125-1104A0BS116A1","320020017"
"7","4","Q1, Q2, Q3, Q4","N-Channel_30-V_MOSFET","PlantSensorsComponents:N-Channel_30-V_MOSFET","Package_TO_SOT_SMD:TO-252-2","","",""
"8","3","R1, R10, R11","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"9","4","R2, R3, R4, R5","10K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"10","4","R6, R7, R8, R9","10R","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"11","1","R12","1M","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"12","1","R13","100K","Device:R","Resistor_SMD:R_1206_3216Metric","~","",""
"13","2","SW1, SW2","SW_Reed","Switch:SW_Reed","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"14","1","U1","BuckConverter","PlantSensorsComponents:BuckConverter","PlantSensor:Buck","","",""
"15","1","U2","MIC5219-3.3YM5","Regulator_Linear:MIC5219-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf","",""
"16","1","U3","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","",""
"17","1","U4","XL1278-SMT","Misc RF:XL1278-SMT","Misc RF:XL1278-SMT","","",""
"18","1","U5","I2C_Display","PlantSensorsComponents:I2C_Display","PlantSensor:Display","","",""
"19","1","U6","BMP280Module","PlantSensorsComponents:BMP280Module","PlantSensor:BMP280Module","","",""
"20","1","U7","GY-302_BH1750","PlantSensorsComponents:GY-302_BH1750","PlantSensor:BH1750","","",""
"21","1","U8","GPS_NEO-M8N_module","PlantSensorsComponents:GPS_NEO-M8N_module","PlantSensor:GPS","","",""
"22","1","U9","SPH0645Module","PlantSensorsComponents:SPH0645Module","PlantSensor:MicrophoneSPH0645","","",""
"23","1","U10","Capacitive_Soil_Moisture","PlantSensorsComponents:Capacitive_Soil_Moisture","OPL_Connector:H3-2.54","","",""
"24","1","U11","TEM-HUM-DHT11_4P-15.5X12.0MM_","OPL_Sensor-Transducer:TEM-HUM-DHT11_4P-15.5X12.0MM_","OPL_Sensor-Transducer:SNR4-2.54-15.5X12.0X5.5MM","","DHT11","314010000"
